8329	94
5890	82
7224	19
6545	99
3750	100
6770	86
8995	100
4371	100
2971	4
8847	69
7492	54
9081	71
3706	24
9060	37
7617	27
7440	68
2049	48
1758	6
5483	44
1796	44
5857	69
7408	23
3992	89
3977	68
1762	12
4532	80
9091	100
3619	60
8988	5
8960	26
6693	24
8858	21
2959	69
3389	3
8611	57
6773	100
5853	22
5857	84
1874	20
1383	93
1103	66
8361	6
5871	20
5839	91
8884	54
6617	60
5773	85
2125	89
3126	9
9614	90
5538	28
1512	50
6662	88
7630	50
7744	56
1205	22
6373	95
5798	23
6160	80
1203	80
2940	24
9997	65
8651	44
2012	34
9897	87
9813	26
8790	18
4663	30
8915	6
3883	11
6116	94
3236	77
6664	51
3233	58
2622	81
4079	64
1763	98
5366	72
3563	10
5364	75
6861	37
7812	44
9563	47
4865	60
8154	40
7298	36
7053	4
1273	28
6146	94
9307	41
6603	100
2213	48
3408	66
5748	72
7215	20
8055	61
2944	35
1869	64
3099	41
1948	69
9056	66
5753	38
6650	54
1303	90
7445	28
3237	9
3978	34
1802	11
5222	66
8965	94
5367	41
7521	32
9984	26
2219	79
3316	76
1938	33
3414	53
5300	90
5649	24
1409	82
5246	11
6213	10
6596	21
1575	13
4039	30
5742	52
3543	28
6829	85
2499	24
5425	21
7698	69
2665	67
2667	74
4398	58
5962	63
4678	40
5983	23
8656	3
8721	40
3839	11
6409	30
7980	48
4130	13
9382	7
7419	83
3160	98
5167	53
7816	87
4151	94
2429	98
7774	30
3301	88
4999	94
2462	2
9593	16
9516	16
5268	68
3151	45
3375	30
2393	32
7620	88
2712	98
8449	20
3873	15
7992	7
6654	43
2335	1
9416	32
3865	71
7037	84
9228	64
1610	98
1143	15
8179	43
7845	76
1592	17
3065	11
5047	83
3201	62
7113	24
1583	68
6667	32
1446	13
2121	88
6609	30
5995	52
7571	6
6570	33
9379	34
4004	25
9577	82
9076	19
6714	13
3159	56
5530	59
2878	39
4805	60
2461	24
9941	33
3150	82
8352	89
6493	32
6130	91
5123	26
6717	90
4015	61
5963	52
6057	53
7958	67
5308	81
4352	13
4807	28
2792	16
5935	55
8319	82
9128	22
8408	31
4983	62
4787	97
4797	81
6298	61
3885	49
3014	90
8063	25
1876	18
5322	35
7708	84
9826	56
7443	12
3050	72
8477	9
3147	91
7473	19
7100	68
3512	12
4863	77
3441	90
1957	12
4203	22
7352	42
3209	66
5353	15
9089	74
3285	19
8015	22
9957	59
4814	15
6303	9
1849	47
7955	84
3363	45
9290	93
6009	89
8675	25
2866	45
8889	87
3571	60
8204	24
8630	77
7596	100
4753	9
6321	53
3335	25
8252	27
1338	28
1637	25
3180	11
2621	74
7651	13
5759	94
7362	57
5018	39
6933	9
3480	13
4562	2
5869	68
7382	31
4356	38
1849	59
1854	88
9566	35
5992	37
6733	47
1733	52
6252	56
8942	15
9379	38
7229	45
9325	63
1468	25
6904	44
4968	77
1384	96
6990	28
4362	13
1778	73
9430	33
5434	30
2253	11
4794	8
7282	21
4227	53
2066	95
5022	33
7831	27
7904	8
9610	11
5237	87
2373	94
8154	51
6372	92
1294	7
2348	19
5868	38
8208	91
4463	74
2883	92
4562	10
8196	100
3762	37
8588	63
9080	15
8204	28
9192	59
8614	31
9826	14
2876	61
6563	18
3689	78
9661	20
7195	78
5041	38
2314	44
9485	56
8712	37
3974	75
8984	76
2884	49
7442	83
6371	39
4120	48
7455	23
1803	5
6279	48
1337	3
9220	7
5620	44
4901	87
5018	9
5377	93
8552	42
3888	74
6260	6
3518	53
2245	1
6178	29
2572	64
3033	3
2940	94
5796	5
7751	56
3491	7
4146	81
2256	71
4344	50
9327	54
7483	1
3324	41
1750	52
3661	91
8883	75
4262	77
5297	90
6471	78
9317	80
5580	25
3580	52
5454	21
7944	45
4062	9
5794	42
7857	100
7488	12
3517	13
9317	78
9140	82
9545	34
9409	1
3867	31
1790	54
8536	31
9662	86
9366	9
3649	97
3669	82
7023	33
4479	91
3041	59
9561	86
5253	32
5658	95
4740	14
2003	33
5384	62
2490	82
4770	16
2576	20
6934	77
3965	57
8661	45
9742	99
6159	78
4823	97
8672	99
4530	42
3882	58
5740	100
1877	50
8506	67
7076	50
6341	80
4646	5
6596	24
1753	90
5206	75
5445	85
4581	56
4263	42
4313	21
6464	95
5558	50
6116	86
9213	45
7561	15
8594	35
1854	8
3012	42
3763	91
7795	75
1359	21
9159	96
3651	37
5127	89
2485	28
1240	100
3374	61
2055	92
2221	55
8823	40
2481	15
6511	24
5172	38
1336	6
4099	45
3978	48
5311	12
7735	21
9810	16
7078	36
7831	13
9398	37
2625	53
7434	53
7980	3
5933	92
6144	77
6548	88
6179	83
4028	3
3164	80
8641	19
8263	9
3749	46
1268	68
4887	38
3565	33
6800	25
7509	27
7444	61
8562	20
7190	6
1692	25
8386	65
7656	70
8769	63
1597	39
5321	17
3785	90
2217	66
1426	25
4919	86
9994	25
9181	41
9614	14
6945	27
6556	18
2593	77
2004	40
9067	85
4777	91
